id,source,image_path,question,answer,chart_type,task_type,difficulty,verified,split,notes
syn_bar_0113__q3,synthetic,gold/images/syn_bar_0113.png,What was the revenue difference between Retail and Partner?,$6400,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=13); style=bold"
syn_bar_0114__q3,synthetic,gold/images/syn_bar_0114.png,By how much does Consumer's revenue exceed Mid-Market's?,$300,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=14); style=neutral"
syn_bar_0115__q1,synthetic,gold/images/syn_bar_0115.png,What was Alpha's revenue?,$2600,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=15); style=editorial"
syn_bar_0115__q3,synthetic,gold/images/syn_bar_0115.png,How much more revenue did Zeta generate than Gamma?,$4600,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=15); style=editorial"
syn_bar_0115__q5,synthetic,gold/images/syn_bar_0115.png,Would Omega and Zeta combined exceed Theta's revenue?,Yes,bar,hard_multi_step,hard,true,train,"annotated bars; procedural gen (seed=42, idx=15); style=editorial"
syn_bar_0116__q3,synthetic,gold/images/syn_bar_0116.png,How many more units did Widget C sell than Widget A?,900,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=16); style=salmon"
syn_bar_0117__q2,synthetic,gold/images/syn_bar_0117.png,Which SKU had the highest unit sales?,SKU-202,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=17); style=spreadsheet"
syn_bar_0117__q3,synthetic,gold/images/syn_bar_0117.png,What was the unit sales difference between SKU-204 and SKU-208?,1600,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=17); style=spreadsheet"
syn_bar_0118__q2,synthetic,gold/images/syn_bar_0118.png,Which vertical made the most revenue?,Media,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=18); style=minimal"
syn_bar_0118__q3,synthetic,gold/images/syn_bar_0118.png,What was the revenue difference between Media and Finance?,$500,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=18); style=minimal"
syn_bar_0118__q4,synthetic,gold/images/syn_bar_0118.png,List the bottom 3 verticals by revenue.,"Healthcare, Retail, Finance",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=18); style=minimal"
syn_bar_0119__q3,synthetic,gold/images/syn_bar_0119.png,By how much does Wholesale's revenue exceed Reseller's?,$7600,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=19); style=dense"
syn_bar_0120__q2,synthetic,gold/images/syn_bar_0120.png,Which segment had the highest revenue?,Enterprise,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=20); style=dark"
syn_bar_0120__q3,synthetic,gold/images/syn_bar_0120.png,How much more revenue did SMB generate than Education?,$2100,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=20); style=dark"
syn_bar_0121__q1,synthetic,gold/images/syn_bar_0121.png,Revenue for Zeta?,$2600,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=21); style=academic"
syn_bar_0121__q3,synthetic,gold/images/syn_bar_0121.png,What was the revenue difference between Theta and Epsilon?,$1400,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=21); style=academic"
syn_bar_0122__q3,synthetic,gold/images/syn_bar_0122.png,By how many units does Widget A exceed Widget C?,2100,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=22); style=pastel"
syn_bar_0122__q4,synthetic,gold/images/syn_bar_0122.png,Name the bottom 3 products in units sold.,"Widget C, Gizmo X, Widget D",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=22); style=pastel"
syn_bar_0124__q2,synthetic,gold/images/syn_bar_0124.png,Which vertical was smallest in revenue?,Tech,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=24); style=neutral"
syn_bar_0124__q3,synthetic,gold/images/syn_bar_0124.png,By how much does Automotive's revenue exceed Retail's?,$3700,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=24); style=neutral"
syn_bar_0124__q4,synthetic,gold/images/syn_bar_0124.png,Name the top 3 verticals in revenue.,"Automotive, Retail, Media",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=24); style=neutral"
syn_bar_0125__q1,synthetic,gold/images/syn_bar_0125.png,What was Marketplace's revenue?,$10100,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=25); style=editorial"
syn_bar_0125__q3,synthetic,gold/images/syn_bar_0125.png,How much more revenue did Marketplace generate than Wholesale?,$4500,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=25); style=editorial"
syn_bar_0126__q1,synthetic,gold/images/syn_bar_0126.png,Revenue for SMB?,$5800,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=26); style=salmon"
syn_bar_0126__q2,synthetic,gold/images/syn_bar_0126.png,Which segment made the least revenue?,Consumer,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=26); style=salmon"
syn_bar_0126__q3,synthetic,gold/images/syn_bar_0126.png,What was the revenue difference between Enterprise and Consumer?,$2200,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=26); style=salmon"
syn_bar_0127__q3,synthetic,gold/images/syn_bar_0127.png,By how much does Gamma's revenue exceed Delta's?,$2700,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=27); style=spreadsheet"
syn_bar_0128__q2,synthetic,gold/images/syn_bar_0128.png,Which product had the highest unit sales?,Widget C,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=28); style=minimal"
syn_bar_0128__q3,synthetic,gold/images/syn_bar_0128.png,What was the unit sales difference between Widget C and Widget E?,3200,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=28); style=minimal"
syn_bar_0128__q4,synthetic,gold/images/syn_bar_0128.png,List the top 3 products by units sold.,"Widget C, Widget E, Widget D",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=28); style=minimal"
syn_bar_0129__q3,synthetic,gold/images/syn_bar_0129.png,By how many units does SKU-206 exceed SKU-207?,300,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=29); style=dense"
syn_bar_0130__q3,synthetic,gold/images/syn_bar_0130.png,How much more revenue did Manufacturing generate than Tech?,$6500,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=30); style=dark"
syn_bar_0131__q1,synthetic,gold/images/syn_bar_0131.png,Revenue for Reseller?,$3400,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=31); style=academic"
syn_bar_0131__q3,synthetic,gold/images/syn_bar_0131.png,What was the revenue difference between Direct and Wholesale?,$1800,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=31); style=academic"
syn_bar_0132__q4,synthetic,gold/images/syn_bar_0132.png,Name the top 3 segments in revenue.,"Nonprofit, Enterprise, SMB",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=32); style=pastel"
syn_bar_0133__q3,synthetic,gold/images/syn_bar_0133.png,How much more revenue did Zeta generate than Omega?,$2600,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=33); style=bold"
syn_bar_0133__q5,synthetic,gold/images/syn_bar_0133.png,Would Alpha and Beta combined exceed Zeta's revenue?,Yes,bar,hard_multi_step,hard,true,train,"annotated bars; procedural gen (seed=42, idx=33); style=bold"
syn_bar_0134__q3,synthetic,gold/images/syn_bar_0134.png,How many more units did Widget C sell than Gizmo Y?,3100,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=34); style=neutral"
syn_bar_0134__q4,synthetic,gold/images/syn_bar_0134.png,Rank the bottom 3 products by units sold.,"Widget E, Gizmo Y, Widget F",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=34); style=neutral"
syn_bar_0135__q2,synthetic,gold/images/syn_bar_0135.png,Which SKU had the highest unit sales?,SKU-202,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=35); style=editorial"
syn_bar_0135__q3,synthetic,gold/images/syn_bar_0135.png,What was the unit sales difference between SKU-202 and SKU-203?,1500,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=35); style=editorial"
syn_bar_0136__q3,synthetic,gold/images/syn_bar_0136.png,What was the revenue difference between Automotive and Finance?,$4900,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=36); style=salmon"
syn_bar_0137__q3,synthetic,gold/images/syn_bar_0137.png,By how much does Reseller's revenue exceed Retail's?,$4800,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=37); style=spreadsheet"
syn_bar_0138__q3,synthetic,gold/images/syn_bar_0138.png,How much more revenue did Mid-Market generate than Government?,$3800,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=38); style=minimal"
syn_bar_0138__q4,synthetic,gold/images/syn_bar_0138.png,Rank the bottom 3 segments by revenue.,"Government, Consumer, Enterprise",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=38); style=minimal"
syn_bar_0139__q2,synthetic,gold/images/syn_bar_0139.png,Which team made the least revenue?,Zeta,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=39); style=dense"
syn_bar_0139__q3,synthetic,gold/images/syn_bar_0139.png,What was the revenue difference between Gamma and Beta?,$1200,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=39); style=dense"
syn_bar_0140__q3,synthetic,gold/images/syn_bar_0140.png,By how many units does Widget D exceed Widget F?,900,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=40); style=dark"
syn_bar_0141__q3,synthetic,gold/images/syn_bar_0141.png,How many more units did SKU-207 sell than SKU-204?,800,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=41); style=academic"
syn_bar_0142__q1,synthetic,gold/images/syn_bar_0142.png,How much revenue did Energy generate?,$6900,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=42); style=pastel"
syn_bar_0142__q3,synthetic,gold/images/syn_bar_0142.png,By how much does Manufacturing's revenue exceed Media's?,$600,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=42); style=pastel"
syn_bar_0142__q4,synthetic,gold/images/syn_bar_0142.png,Name the bottom 3 verticals in revenue.,"Healthcare, Media, Manufacturing",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=42); style=pastel"
syn_bar_0143__q2,synthetic,gold/images/syn_bar_0143.png,Which channel had the lowest revenue?,Partner,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=43); style=bold"
syn_bar_0143__q3,synthetic,gold/images/syn_bar_0143.png,How much more revenue did Reseller generate than Direct?,$10400,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=43); style=bold"
syn_bar_0144__q1,synthetic,gold/images/syn_bar_0144.png,Revenue for Education?,$9300,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=44); style=neutral"
syn_bar_0144__q3,synthetic,gold/images/syn_bar_0144.png,What was the revenue difference between Enterprise and Startup?,$700,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=44); style=neutral"
syn_bar_0145__q3,synthetic,gold/images/syn_bar_0145.png,By how much does Gamma's revenue exceed Delta's?,$4700,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=45); style=editorial"
syn_bar_0146__q3,synthetic,gold/images/syn_bar_0146.png,What was the unit sales difference between Widget B and Widget A?,600,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=46); style=salmon"
syn_bar_0146__q4,synthetic,gold/images/syn_bar_0146.png,List the bottom 3 products by units sold.,"Widget A, Gizmo Y, Widget B",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=46); style=salmon"
syn_bar_0147__q3,synthetic,gold/images/syn_bar_0147.png,By how many units does SKU-207 exceed SKU-205?,1000,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=47); style=spreadsheet"
syn_bar_0148__q3,synthetic,gold/images/syn_bar_0148.png,How much more revenue did Energy generate than Finance?,$2900,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=48); style=minimal"
syn_bar_0149__q1,synthetic,gold/images/syn_bar_0149.png,Revenue for Online?,$4100,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=49); style=dense"
syn_bar_0149__q3,synthetic,gold/images/syn_bar_0149.png,What was the revenue difference between Reseller and Direct?,$4300,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=49); style=dense"
syn_bar_0150__q3,synthetic,gold/images/syn_bar_0150.png,By how much does Startup's revenue exceed SMB's?,$2900,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=50); style=dark"
syn_bar_0150__q4,synthetic,gold/images/syn_bar_0150.png,Name the bottom 3 segments in revenue.,"SMB, Startup, Education",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=50); style=dark"
syn_bar_0151__q1,synthetic,gold/images/syn_bar_0151.png,What was Gamma's revenue?,$2300,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=51); style=academic"
syn_bar_0151__q2,synthetic,gold/images/syn_bar_0151.png,Which team had the lowest revenue?,Gamma,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=51); style=academic"
syn_bar_0151__q3,synthetic,gold/images/syn_bar_0151.png,How much more revenue did Beta generate than Delta?,$1200,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=51); style=academic"
syn_bar_0151__q5,synthetic,gold/images/syn_bar_0151.png,Would Zeta and Omega combined exceed Gamma's revenue?,Yes,bar,hard_multi_step,hard,true,train,"annotated bars; procedural gen (seed=42, idx=51); style=academic"
syn_bar_0152__q2,synthetic,gold/images/syn_bar_0152.png,Which product sold the most units?,Widget D,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=52); style=pastel"
syn_bar_0152__q3,synthetic,gold/images/syn_bar_0152.png,How many more units did Widget F sell than Widget B?,4900,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=52); style=pastel"
syn_bar_0152__q4,synthetic,gold/images/syn_bar_0152.png,Rank the top 3 products by units sold.,"Widget D, Widget C, Widget F",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=52); style=pastel"
syn_bar_0153__q3,synthetic,gold/images/syn_bar_0153.png,What was the unit sales difference between SKU-203 and SKU-201?,100,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=53); style=bold"
syn_bar_0154__q1,synthetic,gold/images/syn_bar_0154.png,Revenue for Healthcare?,$10800,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=54); style=neutral"
syn_bar_0154__q3,synthetic,gold/images/syn_bar_0154.png,What was the revenue difference between Energy and Media?,$8900,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=54); style=neutral"
syn_bar_0154__q5,synthetic,gold/images/syn_bar_0154.png,Do the combined revenues of Finance and Retail exceed Healthcare's?,No,bar,hard_multi_step,hard,true,train,"annotated bars; procedural gen (seed=42, idx=54); style=neutral"
syn_bar_0155__q2,synthetic,gold/images/syn_bar_0155.png,Which channel led in revenue?,Wholesale,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=55); style=editorial"
syn_bar_0155__q3,synthetic,gold/images/syn_bar_0155.png,By how much does Wholesale's revenue exceed Online's?,$7000,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=55); style=editorial"
syn_bar_0156__q1,synthetic,gold/images/syn_bar_0156.png,What was Nonprofit's revenue?,$4100,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=56); style=salmon"
syn_bar_0156__q3,synthetic,gold/images/syn_bar_0156.png,How much more revenue did Nonprofit generate than Startup?,$1300,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=56); style=salmon"
syn_bar_0157__q3,synthetic,gold/images/syn_bar_0157.png,What was the revenue difference between Theta and Beta?,$100,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=57); style=spreadsheet"
syn_bar_0158__q1,synthetic,gold/images/syn_bar_0158.png,What was Widget C's unit total?,6400,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=58); style=minimal"
syn_bar_0158__q3,synthetic,gold/images/syn_bar_0158.png,By how many units does Gizmo Y exceed Widget B?,100,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=58); style=minimal"
syn_bar_0158__q4,synthetic,gold/images/syn_bar_0158.png,Name the bottom 3 products in units sold.,"Gizmo X, Widget B, Gizmo Y",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=58); style=minimal"
syn_bar_0159__q1,synthetic,gold/images/syn_bar_0159.png,How many units did SKU-208 sell?,400,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=59); style=dense"
syn_bar_0159__q3,synthetic,gold/images/syn_bar_0159.png,How many more units did SKU-203 sell than SKU-202?,600,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=59); style=dense"
syn_bar_0160__q1,synthetic,gold/images/syn_bar_0160.png,How much revenue did Media generate?,$5900,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=60); style=dark"
syn_bar_0160__q3,synthetic,gold/images/syn_bar_0160.png,By how much does Media's revenue exceed Finance's?,$3400,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=60); style=dark"
syn_bar_0160__q4,synthetic,gold/images/syn_bar_0160.png,Name the top 3 verticals in revenue.,"Energy, Manufacturing, Media",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=60); style=dark"
syn_bar_0161__q3,synthetic,gold/images/syn_bar_0161.png,How much more revenue did Marketplace generate than Retail?,$2700,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=61); style=academic"
syn_bar_0162__q1,synthetic,gold/images/syn_bar_0162.png,Revenue for Enterprise?,$7300,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=62); style=pastel"
syn_bar_0162__q3,synthetic,gold/images/syn_bar_0162.png,What was the revenue difference between Consumer and Nonprofit?,$3300,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=62); style=pastel"
syn_bar_0162__q4,synthetic,gold/images/syn_bar_0162.png,List the bottom 3 segments by revenue.,"Nonprofit, Startup, Mid-Market",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=62); style=pastel"
syn_bar_0163__q3,synthetic,gold/images/syn_bar_0163.png,By how much does Beta's revenue exceed Delta's?,$3800,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=63); style=bold"
syn_bar_0164__q3,synthetic,gold/images/syn_bar_0164.png,What was the unit sales difference between Widget C and Widget A?,1500,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=64); style=neutral"
syn_bar_0165__q3,synthetic,gold/images/syn_bar_0165.png,By how many units does SKU-201 exceed SKU-203?,2000,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=65); style=editorial"
syn_bar_0166__q1,synthetic,gold/images/syn_bar_0166.png,What was Retail's revenue?,$2300,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=66); style=salmon"
syn_bar_0166__q3,synthetic,gold/images/syn_bar_0166.png,How much more revenue did Tech generate than Retail?,$7700,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=66); style=salmon"
syn_bar_0166__q4,synthetic,gold/images/syn_bar_0166.png,Rank the bottom 3 verticals by revenue.,"Retail, Finance, Tech",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=66); style=salmon"
syn_bar_0167__q3,synthetic,gold/images/syn_bar_0167.png,What was the revenue difference between Wholesale and Partner?,$3600,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=67); style=spreadsheet"
syn_bar_0168__q4,synthetic,gold/images/syn_bar_0168.png,Name the top 3 segments in revenue.,"Education, SMB, Enterprise",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=68); style=minimal"
syn_bar_0169__q3,synthetic,gold/images/syn_bar_0169.png,How much more revenue did Theta generate than Alpha?,$200,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=69); style=dense"
syn_bar_0170__q3,synthetic,gold/images/syn_bar_0170.png,How many more units did Widget F sell than Widget D?,5900,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=70); style=dark"
syn_bar_0170__q4,synthetic,gold/images/syn_bar_0170.png,Rank the bottom 3 products by units sold.,"Widget B, Widget D, Widget C",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=70); style=dark"
syn_bar_0171__q1,synthetic,gold/images/syn_bar_0171.png,Units sold by SKU-207?,2200,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=71); style=academic"
