question,answer,enhanced_prompt,enhanced_completion,chart_type,difficulty,id,notes,original_image,source,split,task_type,verified
How much more revenue did Government generate than Education?,$8500,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'Q1 Revenue by Segment', calculate the difference in revenue between the 'Government' segment and the 'Education' segment. Specifically, determine how much more revenue the Government segment generated compared to the Education segment.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst experienced in data storytelling and financial reporting. You are skilled at extracting quantitative insights from visual charts and performing precise calculations to provide actionable business summaries. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",$8500,bar,medium,syn_bar_0102__q3,"annotated bars; procedural gen (seed=42, idx=2)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0102.png,synthetic,train,delta_absolute,true
Was Marketplace's revenue higher in Plan or Actual?,Actual,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'Revenue by Channel: Plan vs Actual', determine whether the 'Marketplace' channel's revenue was higher in the 'Plan' category or the 'Actual' category. Please state which one is higher and provide the specific revenue values shown on the chart for both to support your answer.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst with expertise in data storytelling and financial reporting. You are skilled at interpreting complex charts and comparing planned targets against actual performance to provide clear, data-driven insights for corporate stakeholders. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","Actual is higher. Plan: $9000, Actual: $11700.",grouped_bar,medium,syn_grouped_0135__q3,"annotated grouped bars; procedural gen (seed=44, idx=35)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0135.png,synthetic,train,multi_series_compare,true
Was Display's share of spend larger than Direct's?,Yes,"Provide your response to the following prompt:

<prompt>
Based on the provided chart titled ""Marketing Spend by Channel"", determine whether the percentage of spend allocated to the ""Display"" channel is larger than the percentage allocated to the ""Direct"" channel. Compare the specific values shown for each segment to answer the question: Was Display's share of spend larger than Direct's?
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Data Analyst with expertise in marketing performance metrics. You are skilled at interpreting data visualizations and comparing quantitative values to provide accurate business insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",Yes,donut,medium,syn_donut_0141__q3,"annotated donut; procedural gen (seed=46, idx=135)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_donut_0141.png,synthetic,train,compare_categories,true
What was the total revenue for Enterprise?,$6300,"Provide your response to the following prompt:

<prompt>
Based on the provided chart titled 'Revenue by Segment and Tier', calculate the total revenue for the 'Enterprise' segment by summing the values of its three tiers (Basic, Standard, and Pro).
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst experienced in interpreting corporate financial dashboards. You possess a keen eye for detail in data visualization and are skilled at aggregating stacked bar chart values to provide accurate total revenue reports. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",$6300,stacked_bar,medium,syn_stacked_0112__q3,"annotated stacked bars; procedural gen (seed=45, idx=12)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0112.png,synthetic,train,aggregation_sum_avg,true
Which month recorded the lowest user count?,Dec,"Provide your response to the following prompt:

<prompt>
Based on the provided line chart titled 'Active Users by Month — H2 2025', identify which month recorded the lowest number of active users. Please refer to the data points labeled on the graph to determine the minimum value.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Data Analyst with a professional background in business intelligence. You are detail-oriented and skilled at interpreting visual data trends and extracting specific metrics from charts to provide accurate, data-driven insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",Dec,line,easy,syn_line_0166__q2,"annotated line; procedural gen (seed=43, idx=66, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0166.png,synthetic,train,max_min,true
By how many units does Widget E exceed Gizmo X?,1100,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled ""Weekly Units Sold by Product"", calculate the difference in units sold between Widget E and Gizmo X. Specifically, determine by how many units Widget E exceeds Gizmo X.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst with a keen eye for detail and precision. You specialize in interpreting business charts and performing quantitative comparisons to provide accurate insights. Your sensibility is analytical and objective, ensuring numerical accuracy when extracting data from visualizations. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",1100,bar,medium,syn_bar_0176__q3,"annotated bars; procedural gen (seed=42, idx=76)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0176.png,synthetic,train,delta_absolute,true
Was SMB's revenue higher in 2023 or 2024?,2023,"Provide your response to the following prompt:

<prompt>
Based on the provided chart titled 'Revenue by Segment: 2023 vs 2024', determine whether the SMB segment's revenue was higher in 2023 or 2024. Please compare the values for the SMB category across both years and state the result.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst experienced in data storytelling and financial reporting. You possess a keen eye for interpreting bar charts and comparing quantitative metrics across different time periods. Your expertise allows you to quickly extract precise values from visualizations to provide accurate business insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",2023,grouped_bar,medium,syn_grouped_0144__q3,"annotated grouped bars; procedural gen (seed=44, idx=44)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0144.png,synthetic,train,multi_series_compare,true
Did signups increase or decrease from W6 to W7?,Increased,"Provide your response to the following prompt:

<prompt>
Analyze the provided line chart titled 'Signups by Week — Q1'. Based on the data points shown, determine whether the number of signups increased or decreased from Week 6 (W6) to Week 7 (W7). State the specific values for both weeks to support your conclusion.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Data Analyst with expertise in interpreting business performance metrics. You are skilled at reading line charts and identifying trends in quantitative data to provide accurate summaries of growth or decline. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","Increased, from 800 to 900.",line,easy,syn_line_0103__q3,"annotated line; procedural gen (seed=43, idx=3, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0103.png,synthetic,train,trend_direction,true
"In the WHO region panel, what is the approximate value of the rightmost data point on the x-axis?",4.5,"Provide your response to the following prompt:

<prompt>
In the WHO region panel, what is the approximate value of the rightmost data point on the x-axis?
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst specializing in public health metrics. You have extensive experience interpreting complex scatter plots and epidemiological data, making you ideally placed to accurately extract specific values from coordinate axes in scientific charts. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",4.5,mixed,hard,hs_0024__q1,hardset; WHO; charts23.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0024.png,hardset,train,max_min,true
"Between H1 and H2, which had higher revenue for NA?",H1,"Provide your response to the following prompt:

<prompt>
Analyze the provided bar chart titled 'Revenue by Region: H1 vs H2'. Compare the revenue figures for the 'NA' region between the two time periods. Specifically, identify which period—H1 or H2—generated higher revenue for NA and state the corresponding values.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a professional Data Analyst with expertise in business intelligence. You are skilled at interpreting visual data representations and extracting precise quantitative insights from charts to support corporate decision-making. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",H1 generated higher revenue for NA with $9200 compared to H2's $8600.,grouped_bar,medium,syn_grouped_0145__q3,"annotated grouped bars; procedural gen (seed=44, idx=45)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0145.png,synthetic,train,multi_series_compare,true
In which week were signups lowest?,W1,"Provide your response to the following prompt:

<prompt>
Based on the provided line chart titled 'Signups by Week — Q1', identify the week with the lowest number of signups. The chart displays data points for weeks W1 through W8, with values labeled at each point (e.g., 600, 800, 700, etc.). Provide the week label (e.g., 'W1') corresponding to the minimum signup value shown.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst with a keen eye for detail and experience in business reporting. You are an expert at interpreting line charts and extracting specific data points to provide accurate insights into performance trends. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",W1,line,easy,syn_line_0103__q2,"annotated line; procedural gen (seed=43, idx=3, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0103.png,synthetic,train,max_min,true
What was the percent change in revenue from Q2 to Q4?,-20.7%,"Provide your response to the following prompt:

<prompt>
Using the provided chart titled 'FY25 Quarterly Revenue', calculate the percent change in revenue from Q2 to Q4. Show your work by identifying the revenue values for both quarters and applying the percentage change formula.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a math domain. You are a financial analyst with a strong background in quantitative mathematics. You are an expert at extracting data from visual charts and performing precise percentage change calculations to provide business insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","Q2 Revenue: $34,800  
Q4 Revenue: $27,600  

Percent Change = [(New Value - Old Value) / Old Value] × 100  
= [($27,600 - $34,800) / $34,800] × 100  
= (-$7,200 / $34,800) × 100  
= -20.69%

-20.69%",line,medium,syn_line_0113__q4,"annotated line; procedural gen (seed=43, idx=13, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0113.png,synthetic,train,percent_change_ratio,true
How many signups were there in W6?,400,"Provide your response to the following prompt:

<prompt>
Based on the provided chart titled 'Weekly Signups — Q4', determine the number of signups recorded for week W6.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst with a keen eye for detail. You specialize in interpreting business growth metrics from visual charts and graphs to provide precise quantitative answers. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",400,line,easy,syn_line_0127__q1,"annotated line; procedural gen (seed=43, idx=27, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0127.png,synthetic,train,lookup_value,true
