question,answer,enhanced_prompt,enhanced_completion,chart_type,difficulty,id,notes,original_image,source,split,task_type,verified
"From Sep to Oct, did users increase or decrease?",Increased,,"From **September (Sep)** to **October (Oct)**, active users **increased**.

- September: **12,100**
- October: **13,000**

That’s an increase of **900 users**.

✅ So, users **increased** from Sep to Oct.",line,easy,syn_line_0150__q3,"annotated line; procedural gen (seed=43, idx=50, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0150.png,synthetic,train,trend_direction,true
"Between APAC in H1 and MEA in H2, was the former higher?",No,,"Let’s compare the two values:

- **APAC in H1**: $4500 (blue bar for APAC)
- **MEA in H2**: $4800 (orange bar for MEA)

Now, is **APAC H1 ($4500)** higher than **MEA H2 ($4800)**?

→ **No**, $4500 < $4800.

### ✅ Final Answer: **No**",grouped_bar,hard,syn_grouped_0217__q4,"annotated grouped bars; procedural gen (seed=44, idx=117)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0217.png,synthetic,train,hard_multi_step,true
"Between Nov and Dec, did revenue increase or decrease?",Decreased,,"Between **November** and **December**, revenue **decreased**.

- November revenue: **$8,200**
- December revenue: **$8,100**

This is a decrease of **$100**.

✅ So, the answer is: **Decrease**.",line,easy,syn_line_0124__q3,"annotated line; procedural gen (seed=43, idx=24, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0124.png,synthetic,train,trend_direction,true
List the top 3 verticals by revenue.,"Tech, Energy, Healthcare",,"Based on the bar chart “Q1 Revenue by Vertical”, here are the top 3 verticals by revenue:

1. **Tech** — $10,100  
2. **Energy** — $9,300  
3. **Healthcare** — $7,600  

These are the three highest-revenue verticals in Q1 according to the data shown.",bar,medium,syn_bar_0208__q4,"annotated bars; procedural gen (seed=42, idx=108)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0208.png,synthetic,train,rank_order,true
By how much does Gamma's revenue exceed Delta's?,$4700,,"From the bar chart:

- **Gamma's revenue** = **$9,400**
- **Delta's revenue** = **$4,700**

To find how much Gamma’s revenue exceeds Delta’s:

**$9,400 - $4,700 = $4,700**

✅ **Answer: $4,700**",bar,medium,syn_bar_0145__q3,"annotated bars; procedural gen (seed=42, idx=45)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0145.png,synthetic,train,delta_absolute,true
What percentage of Japanese new entrants were women?,73%,,"Based on the provided infographic from Statistics Canada, under the section **“Sex of new entrants”**, we can find the breakdown by gender for various ethnic groups.

Looking at the row for **Japanese**:

- The bar is split into two colors:
  - **Blue (Men)**: 27%
  - **Green (Women)**: **73%**

---

✅ Therefore, **73%** of Japanese new entrants were women.",mixed,medium,hs_0007__q1,hardset; StatCan; charts5.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0007.png,hardset,train,lookup_value,true
What share of spend did Paid Search represent?,28.5%,,"Based on the provided pie chart titled **""Ad Spend by Channel""**, the share of spend represented by **Paid Search** is:

> **28.5%**

This is clearly labeled in the blue segment of the pie chart.

---

✅ **Final Answer: 28.5%**",pie,easy,syn_pie_0185__q1,"annotated pie; procedural gen (seed=46, idx=85)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0185.png,synthetic,train,lookup_value,true
"For Nonprofit, which year had higher revenue, 2023 or 2024?",2023,,"Looking at the bar chart for the **Nonprofit** segment:

- **2023 (blue bar)**: $9,300  
- **2024 (orange bar)**: $3,800

Clearly, **2023** had higher revenue for the Nonprofit segment.

✅ **Answer: 2023**",grouped_bar,medium,syn_grouped_0140__q3,"annotated grouped bars; procedural gen (seed=44, idx=40)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0140.png,synthetic,train,multi_series_compare,true
Name the top 3 segments in revenue.,"Mid-Market, SMB, Nonprofit",,"Based on the bar chart titled **“Q3 Revenue by Segment”**, here are the top 3 segments by revenue:

1. **Mid-Market** — $11,800  
2. **SMB** — $11,300  
3. **Nonprofit** — $6,500

These are the three highest-revenue segments in Q3 according to the data shown.

*(Note: Enterprise is at $5,700 and Government at $4,900, so they fall below Nonprofit.)*",bar,medium,syn_bar_0204__q4,"annotated bars; procedural gen (seed=42, idx=104)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0204.png,synthetic,train,rank_order,true
How many more units did SKU-204 sell than SKU-205?,1100,,"From the bar chart:

- **SKU-204** sold **2000** units.
- **SKU-205** sold **900** units.

To find how many more units SKU-204 sold than SKU-205:

**2000 - 900 = 1100**

✅ **Answer: 1100**",bar,medium,syn_bar_0123__q3,"annotated bars; procedural gen (seed=42, idx=23)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0123.png,synthetic,train,delta_absolute,true
What was the Referral revenue for Q1?,$4500,,"Looking at the stacked bar chart for **Q1**, the green segment (which represents **Referral** revenue, according to the legend) is labeled with **$4500**.

✅ Therefore, the Referral revenue for Q1 was **$4500**.",stacked_bar,medium,syn_stacked_0155__q1,"annotated stacked bars; procedural gen (seed=45, idx=55)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0155.png,synthetic,train,lookup_value,true
Name the bottom 3 verticals in revenue.,"Healthcare, Automotive, Energy",,"Looking at the bar chart titled **“H2 Revenue by Vertical”**, we can see the revenue for each vertical:

- **Energy**: $9,800  
- **Healthcare**: $2,900  
- **Automotive**: $4,500  
- **Finance**: $10,200  

To find the **bottom 3 verticals in revenue**, we rank them from lowest to highest:

1. **Healthcare** — $2,900 (lowest)  
2. **Automotive** — $4,500  
3. **Energy** — $9,800  

*(Finance is highest at $10,200, so it’s not in the bottom 3.)*

---

✅ **Bottom 3 verticals in revenue:**

**Healthcare, Automotive, Energy**",bar,medium,syn_bar_0178__q4,"annotated bars; procedural gen (seed=42, idx=78)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0178.png,synthetic,train,rank_order,true
"Between Direct in Plan and Online in Actual, was the former higher?",No,,"Let’s compare the two values:

- **Direct in Plan**: $8,100  
- **Online in Actual**: $8,800  

Is **Direct in Plan** higher than **Online in Actual**?

→ **No**, $8,100 < $8,800

✅ So, **the former (Direct in Plan) was NOT higher**.

**Answer: No**",grouped_bar,hard,syn_grouped_0199__q4,"annotated grouped bars; procedural gen (seed=44, idx=99)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0199.png,synthetic,train,hard_multi_step,true
How many more units did Widget F sell than Widget D?,5900,,"From the bar chart:

- **Widget F** sold **7000** units.
- **Widget D** sold **1100** units.

To find how many more units Widget F sold than Widget D:

**7000 - 1100 = 5900**

✅ **Answer: 5900**",bar,medium,syn_bar_0170__q3,"annotated bars; procedural gen (seed=42, idx=70)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0170.png,synthetic,train,delta_absolute,true
What was the percentage change in signups between W6 and W8?,-21.4%,,"To calculate the **percentage change** in signups between **W6** and **W8**, we use the formula:

> **Percentage Change = [(New Value - Old Value) / Old Value] × 100%**

From the chart:
- Signups in **W6** = **1400**
- Signups in **W8** = **1100**

So,

> Percentage Change = [(1100 - 1400) / 1400] × 100%  
> = [(-300) / 1400] × 100%  
> ≈ **-21.43%**

---

✅ **Final Answer: -21.43%** (a decrease of approximately 21.43%)",line,medium,syn_line_0147__q4,"annotated line; procedural gen (seed=43, idx=47, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0147.png,synthetic,train,percent_change_ratio,true
How much more revenue did Reseller generate than Direct?,$10400,,"To find how much more revenue the **Reseller** channel generated than the **Direct** channel, subtract the Direct revenue from the Reseller revenue:

- **Reseller revenue**: $13,900  
- **Direct revenue**: $3,500  

**Difference** = $13,900 - $3,500 = **$10,400**

✅ So, the Reseller channel generated **$10,400 more** in revenue than the Direct channel in Q4.",bar,medium,syn_bar_0143__q3,"annotated bars; procedural gen (seed=42, idx=43)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0143.png,synthetic,train,delta_absolute,true
"Between Q3 and Q4, which had higher revenue for Media?",Q3,,"Looking at the bar chart for the **Media** vertical:

- **Q3 revenue (blue bar)**: $10,500  
- **Q4 revenue (orange bar)**: $5,300  

Clearly, **Q3** had higher revenue for Media.

✅ **Answer: Q3**",grouped_bar,medium,syn_grouped_0130__q3,"annotated grouped bars; procedural gen (seed=44, idx=30)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0130.png,synthetic,train,multi_series_compare,true
By how many units does SKU-206 exceed SKU-207?,300,,"From the bar chart:

- **SKU-206** sold **600** units.
- **SKU-207** sold **300** units.

To find how many more units SKU-206 sold than SKU-207:

**600 - 300 = 300**

✅ **Answer: 300 units**",bar,medium,syn_bar_0129__q3,"annotated bars; procedural gen (seed=42, idx=29)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0129.png,synthetic,train,delta_absolute,true
What was the percent change in revenue from Q2 to Q4?,-16.0%,,"To calculate the **percent change in revenue from Q2 to Q4**, we use the formula:

> **Percent Change = [(New Value - Old Value) / Old Value] × 100%**

From the chart:
- **Q2 Revenue = $23,800**
- **Q4 Revenue = $20,000**

Plug into the formula:

> Percent Change = [($20,000 - $23,800) / $23,800] × 100%  
> = [(-$3,800) / $23,800] × 100%  
> ≈ **-15.97%**

---

✅ **Final Answer: Approximately -15.97%** (a decrease of about 16%)",line,medium,syn_line_0161__q4,"annotated line; procedural gen (seed=43, idx=61, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0161.png,synthetic,train,percent_change_ratio,true
